Source,Section,Title,Date,URL,Text
thehindu.com,cities,Hygiene violations noticed at restaurants in Kompally,2024-12-31,https://www.thehindu.com/news/cities/Hyderabad/hygiene-violations-noticed-at-restaurants-in-kompally/article69046948.ece,"The Task Force teams of Telangana’s Commissioner of Food Safety carried out inspections at popular restaurants in Kompally area of Medchal-Malkajgiri district on December 30, uncovering numerous hygiene violations. At Malnadu Kitchen, raw meat, including chicken and mutton, was found dumped in refrigerators in an unhygienic manner, posing risk of contamination. Prepared food items such as mutton curry and fried chicken wings were stored in a cold room without proper labelling and were subsequently discarded. Synthetic food colors were seized on suspicion of their use in prepared dishes. The inspectors discovered rodent excreta in various storage areas, poorly maintained refrigerators,"
indiatimes.com,city,"Branded bottles, cheap liquor: Bar loses licence",2024-12-31,https://timesofindia.indiatimes.com/city/noida/branded-bottles-cheap-liquor-bar-loses-licence/articleshow/116809185.cms,"Noida: The liquor licence of a bar at Gardens Galleria Mall was suspended after authorities carried out a raid last week and found that bottles of premium whiskey were tampered with before drinks were served to customers.Excise department officials told TOI that they seized 23 bottles and sent them to a laboratory to test for adulteration.The department's action came on an anonymous tip-off that My Bar Headquarters , which opened in the Sector 38A mall in 2021, mixes cheaper brands of liquor with high-end ones and stocks it in bottles of premium brands.""The bottles were seized during a raid conducted"
thehindu.com,cities,DVAC Virudhunagar district unit has registered 14 cases in 2024 against Government officials on bribery charges,2024-12-30,https://www.thehindu.com/news/cities/Madurai/dvac-virudhunagar-district-unit-has-registered-14-cases-in-2024-against-government-officials-on-bribery-charges/article69043888.ece,"Virudhunagar district unit of Vigilance and Anti-Corruption have registered 14 cases, including those after traps, surprise checks and against Government officials involved in irregularities and for having ill-gotten wealth during 2024. In a statement, its Additional Superintendent of Police, K. Ramachandran, said that 12 persons were arrested in nine trap cases for demanding and accepting bribe money from the members of the public. The DVAC sleuths had seized ₹1.55 lakh in those nine cases while catching the officials red-handed, including village administrative officer, block development officer, assistant engineer in Tangedco, Town Planning Inspector, Food Safety Officer and Panchayat president. The"
thehindu.com,sci-tech,Traditional fermented foods are prone to contamination: experts point to the need to balance safety with culture,2024-12-30,https://www.thehindu.com/sci-tech/health/traditional-fermented-foods-are-prone-to-contamination-experts-point-to-the-need-to-balance-safety-with-heritage/article69040957.ece,"Fermented foods are one of the most celebrated culinary elements of many North-Eastern cuisines. They have cultural, ethnic, geographic, and health attributes. However, they are also very vulnerable to contamination, according to a recent study by the Indian Council of Medical Research (ICMR). In the peer reviewed research paper titled ‘Ethnic Foods of Northeast India: Insight into the Light of Food Safety,’ the authors highlight the pressing concerns of food safety associated with these traditional preparations of fermented foods. The study, conducted from October 2023 to March 2024, surveyed 1,227 food samples across Assam, Arunachal Pradesh, Tripura, and Sikkim. Researchers"
indiatimes.com,city,10 govt students land in hosp after having dinner at hostel,2024-12-29,https://timesofindia.indiatimes.com/city/hyderabad/10-govt-students-land-in-hosp-after-having-dinner-at-hostel/articleshow/116750610.cms,"Ten students from a government residential school in Nirmal were hospitalized after experiencing stomach aches, vomiting, and motions post-dinner. HYDERABAD: Ten students of a govt residential school in Nirmal were taken to the hospital after they complained of stomach ache and suffered vomiting and motions after having dinner on Friday.While five students were sent back to the hostel after receiving medical care, the other five were kept under observation, authorities said.The students of KGBV hostel at Ananthpet in Nirmal town were reportedly served rice which was allegedly not cooked well. Local education officials said a new agency was given the"
indiatimes.com,city,50kg of fake dairy products seized in raid on wholesale supplier,2024-12-25,https://timesofindia.indiatimes.com/city/vadodara/50kg-of-fake-dairy-products-seized-in-raid-on-wholesale-supplier/articleshow/116640341.cms,"Vadodara: Food safety officers of the Vadodara Municipal Corporation (VMC) raided a wholesale dairy products supplier on Waghodiya Road in the city and seized 50 kg of material used to make fake dairy products .The firm was involved in selling both dairy products and their analogues. The products were sold to various retail outlets and eateries in the city by the wholesaler.During the checking drive, officials found paneer as well as cheese analogue stored in the shop. The material included 23.3 kg of cheese analogue, 9.2 kg of paneer analogue , and 17.5 kg of paneer. Officials collected samples of"
thehindu.com,national,"Telangana food safety department conducted over 4,600 inspections, levying fines of ₹78 lakh",2024-12-25,https://www.thehindu.com/news/national/telangana/telangana-food-safety-department-conducted-over-4600-inspections-levying-fines-of-78-lakh/article69026319.ece,"The Telangana Food Safety Department has emerged as a key player in ensuring food safety and hygiene across the State this year. From January to November 2024, the department conducted 4,652 inspections across restaurants, upscale pubs, manufacturing units, eCommerce dark stores, warehouses, dairy units, and ice cream parlours in Hyderabad and other districts. These efforts resulted in fines amounting to ₹78 lakh and filing of 710 adjudication cases. To intensify its efforts, the department formed a task force on April 16, comprising three food safety officers to conduct surprise inspections. Commissioner of Food Safety R.V. Karnan revealed that the task"
thehindu.com,cities,ICDS urged to keep anganwadi closed till reason behind health scare is detected,2024-12-24,https://www.thehindu.com/news/cities/Kochi/icds-urged-to-keep-anganwadi-closed-till-reason-behind-health-scare-is-detected/article69018893.ece,"A recommendation has been forwarded to the Integrated Child Development Services (ICDS) to keep the anganwadi at Ponnurunni East division of the Kochi Corporation shut till the reason behind the food poison-like symptoms developed by its students last week is found out. The welfare committee of the anganwadi concerned convened an emergency meeting on Sunday (December 22) and forwarded such a recommendation to ICDS as a precaution to pre-empt any potential epidemic though nothing suggests that to be the case at the moment. According to health officials, twelve students, three parents, and an ayah at the anganwadi developed vomiting and"
thehindu.com,cities,165 kgs of adulterated tea powder seized from unit in Hyderabad’s Chandanagar; Food colours and flavour was used,2024-12-23,https://www.thehindu.com/news/cities/Hyderabad/165-kgs-of-adulterated-tea-powder-seized-from-unit-in-hyderabads-chandanagar-food-colours-and-flavour-was-used/article69018206.ece,"Hyderabad police commissioner’s Task Force (South Zone) along with the Food Safety team conducted a raid on a tea manufacturing unit, where the product was allegedly adulterated, in Chandanagar. They have seized 130 kgs of adulterated tea powder in packets, 35 kgs of loose tea powder which was adulterated and food colours used in the adulteration. The police said that the 46-year-old accused D. Chandra Shekar, who stays in Chandanagar, was found adulterating tea powder by mixing it with a sunset yellow colour and another colour to make it appear as high-quality tea powder. A cardamom flavour too was added."
thehindu.com,cities,Hygiene violations found at Hyderabad dairy units during food safety inspections,2024-12-22,https://www.thehindu.com/news/cities/Hyderabad/hygiene-violations-found-at-hyderabad-dairy-units-during-food-safety-inspections/article69015848.ece,"The task force teams of Telangana’s Commissioner of Food Safety conducted inspections at dairy units located in Hyderabad on December 20 and uncovered multiple hygiene violations. At Durga Dairy Products in Sultan Bazar, inspectors found the ceilings flaky in some areas and the flooring patchy. The unit lacked proper drainage systems, and expired food products were discovered, including artificial flavouring agents, Flavouring items like vanilla and lemon were found to be expired and were immediately discarded. Additionally, the doors were not properly sealed, posing a risk of pest entry. At NR Milk House in Amberpet, the internal structures made of"
