Source,Section,Title,Date,URL
thehindu.com,cities,"Food festivals, water tankers under lens",17-04-2019,https://www.thehindu.com/news/cities/kozhikode/food-festivals-water-tankers-under-lens/article26861401.ece
thehindu.com,national,Vigilance seizes stale food from six city restaurants,23-04-2019,https://www.thehindu.com/news/national/andhra-pradesh/vigilance-seizes-stale-food-from-six-city-restaurants/article26915626.ece
newindianexpress.com,states,Police to check drug peddling in capital region with an iron hand,22-04-2019,http://www.newindianexpress.com/states/andhra-pradesh/2019/apr/22/police-to-check-drug-peddling-in-capital-region-with-an-iron-hand-1967314.html
newindianexpress.com,states,Many anomalies found in V&E raids in Guntur,25-04-2019,http://www.newindianexpress.com/states/andhra-pradesh/2019/apr/25/many-anomalies-found-in-ve-raids-in-guntur-1968802.html
thehindu.com,cities,6.5 tonnes of artificially ripened mangoes seized,28-04-2019,https://www.thehindu.com/news/cities/Madurai/65-tonnes-of-artificially-ripened-mangoes-seized/article26971237.ece
thehindu.com,cities,Vigilance officials detect violations in 8 restaurants,30-04-2019,https://www.thehindu.com/news/cities/Visakhapatnam/vigilance-officials-detect-violations-in-8-restaurants/article26985612.ece
indiatimes.com,city,Vigilance raids at 8 restaurants in Visakhapatnam,30-04-2019,https://timesofindia.indiatimes.com/city/visakhapatnam/vigilance-raids-at-8-restaurants-in-city/articleshow/69103549.cms
indiatimes.com,city,Norwegian scientists study gut parasite in pooch poop,05-01-2019,https://timesofindia.indiatimes.com/city/chandigarh/norwegian-scientists-study-gut-parasite-in-pooch-poop/articleshow/67388532.cms
indianexpress.com,cities,"Food poisoning might not be the reason, says FDA",08-01-2019,https://indianexpress.com/article/cities/mumbai/food-poisoning-might-not-be-the-reason-says-food-and-drug-administration-5527616/
indiatimes.com,city,"Food officials seize 2,300kg adulterated jaggery",06-01-2019,https://timesofindia.indiatimes.com/city/erode/food-officials-seize-2300kg-adulterated-jaggery/articleshow/67402043.cms
thehindu.com,cities,Over 4.5 tonnes of banned tobacco products seized,21-01-2019,https://www.thehindu.com/news/cities/Tiruchirapalli/over-45-tonnes-of-banned-tobacco-products-seized/article26052797.ece
indiatimes.com,city,4.5 tonnes of banned tobacco products seized in Trichy,22-01-2019,https://timesofindia.indiatimes.com/city/madurai/4-5-tonnes-of-banned-tobacco-products-seized-in-trichy/articleshow/67632585.cms
thehindu.com,national,Banned tobacco products seized,22-01-2019,https://www.thehindu.com/news/national/tamil-nadu/banned-tobacco-products-seized/article26063755.ece
thehindu.com,national,BHOG to ensure food safety in places of worship,25-01-2019,https://www.thehindu.com/news/national/kerala/bhog-to-ensure-food-safety-in-places-of-worship/article26093603.ece
thehindu.com,sci-tech,The lowdown on zearalenone in cereals,26-01-2019,https://www.thehindu.com/sci-tech/science/the-lowdown-on-zearalenone-in-cereals/article26100813.ece
thehindu.com,national,Food industry agrees to cut trans fat,29-01-2019,https://www.thehindu.com/news/national/kerala/food-industry-agrees-to-cut-trans-fat/article26115189.ece
indiatimes.com,city,One tonne of banned plastic products seized from Chennai restaurant,30-01-2019,https://timesofindia.indiatimes.com/city/chennai/one-tonne-of-banned-plastic-products-seized-from-chennai-restaurant/articleshow/67761450.cms
newindianexpress.com,cities,Whopping one tonne of banned plastics seized from Vadapalani hotel,31-01-2019,http://www.newindianexpress.com/cities/chennai/2019/jan/31/whopping-one-tonne-of-banned-plastics-seized-from-vadapalani-hotel-1932274.html
