Source,Section,Title,Date,URL,Text,Summary,RST_Component
indiatimes.com,city,200 âdesi gheeâ samples sent for test in 48 hours,12-01-2019,https://timesofindia.indiatimes.com/city/chandigarh/200-desi-ghee-samples-sent-for-test-in-48-hours/articleshow/67497604.cms,"Punjab food safety commissioner said âdesi gheeâ, which is adulterated with vanaspati and palm oil, was worth Rs 40 per litre only MOHALI : If you are picking up a pack of âlite medium gheeâ, in all likelihood the supposed desi ghee is adulterated with vanaspati and palm oil.According to K S Pannu, commissioner, food safety, Punjab, the food safety commissionerate has seized nearly 200 samples of desi ghee from various outlets across the state in the last 48 hours and were sent for testing at Kharar-based laboratory.âIt was seen that at many places cooking medium was being sold as desi ghee. The customers were mislead as âcooking mediumâ is printed in very small text, which was probably overlooked by the consumers,â said Pannu, adding that such deception is punishable offence under the law.Pannu also said desi ghee, which cost at least Rs 350 per kg, is adulterated with vanaspati and palm oil, and is being sold as âlite medium gheeâ that is worth only Rs 40 per litre. A couple of cases of misbranding were also reported from the field, informed Pannu.Pannu said the consumers should be on guard against misbranding, substandard and misleading products and check the label before buying the products.Since the launch of Mission Tandrust Punjab in June 2018, food and drug commissionerate officials have been cracking down on adulterators in the state. They have been conducting quality checks on food items on a daily basis.The punjab food safety commissioner had last week said that equipment worth Rs10 crore were installed at the food safety laboratory in Kharar curb ghee adulteration.","In Punjab, the Food Safety Commissioner revealed that 'desi ghee', which is usually sold for at least Rs 350 per kg, has been found to be adulterated with vanaspati and palm oil, and mislabeled as 'lite medium ghee' worth only Rs 40 per litre. The commissionerate seized nearly 200 samples of such adulterated ghee in the past 48 hours for testing. Consumers are advised to be vigilant against misbranding, substandard, and misleading food products, and to check labels before buying.","Background:
- The Punjab Food Safety Commissionerate has been cracking down on adulterators in the state since the launch of Mission Tandrust Punjab in June 2018 (nucleus).
- Quality checks on food items are conducted daily by the commissionerate. (satellite)

Cause:
- 'Desi ghee' is being adulterated with vanaspati and palm oil and mislabeled as 'lite medium ghee' worth only Rs 40 per litre. (nucleus)

Evidence:
- Nearly 200 samples of adulterated ghee were seized from various outlets across Punjab in the last 48 hours and sent for testing at Kharar-based laboratory. (nucleus)

Elaboration:
- The customers are being misled as ""cooking medium"" is printed in very small text, which was probably overlooked by consumers. (satellite)
- A couple of cases of misbranding were also reported from the field. (satellite)

Consequence:
- Such deception is a punishable offence under the law. (nucleus)
- Consumers are advised to be on guard against misbranding, substandard, and misleading products and check the label before buying the products. (nucleus)"
indiatimes.com,city,Mumbai: Two busted with 1kg cocaine worth 6cr,14-01-2019,https://timesofindia.indiatimes.com/city/mumbai/mumbai-two-busted-with-1kg-cocaine-worth-6cr/articleshow/67518828.cms,"Mumbai: The crime branchâs anti-narcotics cell (ANC), in its first case of the year, has arrested two Nigerian nationals for possessing 1kg of high-quality cocaine worth Rs 6 crore. The consignment was seized before it could reach its destination for adulteration and packaging.âOur team received information about foreign nationals carrying drugs,â said ANC head DCP Shivdeep Lande .âOur Bandra unit laid a trap and nabbed two persons, Daniel Ezieke, 38, and John Fransis, 35, in front of a high school in Andheri âs Amboli area. Frisking them and checking their luggage, we found 505g of cocaine on Ezieke and 500g on Fransis.âAn interrogation of the accused revealed two trafficking methods used by their syndicate: importing drugs by using flyers, and getting them by post. The trafficked drug is always highly potent. âAfter it reaches India, it is handed over to local contacts, who keep the consignment at a safe place for some time before passing it on for mixing with other materials. Usually, 1kg of pure cocaine after adulteration becomes 4-5kg. It is then packed in sachets, ready for sale to end users,â said an official.The police said they are yet to recover the passports of the Nigerian nationals to find out for how long have they been in India. âThey have been giving evasive replies and frequently changing their version. Itâs taking time to interrogate them and corroborate the extracted information,â said an officer.The seized consignment will be sent to the Kalina forensic science laboratory for chemical analysis. âWe are interrogating them to find out from which country did they import the drugs and who all are part of their syndicate,â said a senior police officer. The police are also looking into the possibility of locals being involved in the racket.","On January 1st, the Mumbai Anti-Narcotics Cell (ANC) arrested two Nigerian nationals, Daniel Ezieke and John Fransis, for possessing 1kg of high-quality cocaine worth Rs 6 crore. The consignment was seized before it could be adulterated and packaged. The suspects were caught in the Amboli area of Andheri after information about foreign nationals carrying drugs was received. During their interrogation, the police found that the trafficking methods used by the syndicate include importing drugs using flyers and getting them via post. After reaching India, the cocaine is handed over to local contacts for adulteration and packaging before distribution. The police are investigating for how long the suspects have been in India, who else might be part of their syndicate, and if locals are involved in the racket.","Background:
- Mumbai Anti-Narcotics Cell (ANC) arrested two Nigerian nationals on January 1st for possessing cocaine. (nucleus)

Elaboration:
- The ANC head, DCP Shivdeep Lande, stated that their team received information about foreign nationals carrying drugs and nabbed them in front of a high school in Amboli area. (satellite)

Cause:
- The suspects were caught because they carried cocaine. (nucleus)

Evidence:
- The seized consignment contained 505g of cocaine on Ezieke and 500g on Fransis. (nucleus)

Elaboration:
- An interrogation of the accused revealed two trafficking methods used by their syndicate: importing drugs using flyers and getting them by post. (satellite)

Result:
- The police are investigating to find out for how long the suspects have been in India, who else might be part of their syndicate, and if locals are involved in the racket. (nucleus)

Elaboration:
- The seized consignment will be sent to the Kalina forensic science laboratory for chemical analysis. (satellite)"
thehindu.com,cities,Banned plastics seized from eatery,31-01-2019,https://www.thehindu.com/news/cities/chennai/banned-plastics-seized-from-eatery/article26133187.ece,"A team of officials from the Food Safety Department on Wednesday seized a large quantity of plastic trays, cups, covers, plastic-coated boxes, plastic sheets, plastic straws, cling wrappers and plastic insulated and coated aluminium covers from the Vadapalani branch of Hotel Saravana Bhavan during a raid, said a press release from the Chennai Collectorate. Sources in the eatery said that the plastics had been collected from all the branches and kept in the main branch for safe disposal.",,"Background:
- A raid took place at the Vadapalani branch of Hotel Saravana Bhavan by officials from the Food Safety Department on Wednesday (Nucleus). (nucleus)
- The Chennai Collectorate issued a press release regarding the seizure (satellite). (satellite)

Cause:
- The plastic items were seized due to their presence at the establishment (Nucleus). (nucleus)
- The plastics had been collected from all branches and stored in the main branch for safe disposal (satellite). (satellite)

SUMMARY:
On Wednesday, during a raid by officials from the Food Safety Department, a large quantity of plastic items was seized at the Vadapalani branch of Hotel Saravana Bhavan. The collected plastics were reportedly gathered from all branches and stored in the main branch for safe disposal, according to sources within the eatery.

The Chennai Collectorate issued a press release regarding this seizure. No additional information about the types of plastic items or authorities involved in the raid was provided in the article."
indiatimes.com,city,"1,000 kg of banned plastic products seized from hotel",31-01-2019,https://timesofindia.indiatimes.com/city/chennai/1000-kg-of-banned-plastic-products-seized-from-hotel/articleshow/67764622.cms,"Plates, spoons and cups are among the things seized CHENNAI: After a lull, Tamil Nadu food safety officials sprang into action on Wednesday and seized one tonne of banned plastic items from the Vadapalani branch of hotel Saravana Bhavan.The officials said they had received many complaints from customers and officials, including the district collector, about the hotel using banned plastic products. On Wednesday, a team of officials conducted a search at the hotel chainâs Vadapalani branch around 7 am and seized 3,200 plastic trays, 1,200 plastic cups, 1,565 plastic carry bags, 1,650 plastic tumblers, 55 plastic rolls, and 300 plastic straws.âThey had stored the material here and planned to supply them to parties. We had already received many complaints in the past and had raided their hotels on January 3. Again, we received complaints on Tuesday and so we acted,â said a food safety officer. The hotel staff were warned and asked not to use the banned items. âSince penalties have not been worked out yet, we cannot impose any fine. But we have warned them,â said an official. Ironically, it was Saravana Bhavan that had supplied all the food for the regional meets that took place at the Tamil Nadu pollution control board in December before the ban was enforced.The food safety department has, so far, seized about seven tonnes of banned products since the ban on single-use plastic came into force on January 1, 2019. âOn January 3, we raided Big Bazar, Adayar Anandha Bhavan and Saravana Bhavan and seized about 3.5 tonnes of banned plastic items. On January 12, we seized about 2.5 tonnes of banned items from Jeyachandra Textiles and Saravana Stores. Last Sunday, we seized 500 boxes of banned items from Fipola, online chicken store in Chennai,â said an official.Food safety officials told TOI that they were taking action based on complaints. âThere are about 14 food safety officers in Chennai and we are all working to ensure the ban is implemented. Until further instructions, we can only seize the products. We are trying to create awareness and are working in coordination with other departments,â said an official. About the use of compostable bags, the officials said âWe have to wait for government orders.âA representative of Saravana Bhavan told TOI that the plastic products were not being used and what was seized was just old stock that had been stored at the branch.","In Chennai, on January 16, food safety officials seized approximately one tonne of banned plastic items from the Vadapalani branch of hotel Saravana Bhavan due to complaints about their use of prohibited plastic products. The hotel had stored the seized items for future supply. Since the ban on single-use plastic was enforced on January 1, 2019, the food safety department has confiscated around seven tonnes of banned products from various locations in Chennai.","Background:
- Food safety officials have been taking action since the ban on single-use plastic came into force on January 1, 2019. (nucleus)
- The food safety department has seized approximately seven tonnes of banned products so far. (satellite)

Elaboration:
- On Wednesday, a team of officials conducted a search at Saravana Bhavan's Vadapalani branch and seized various plastic items such as trays, cups, carry bags, tumblers, rolls, and straws. (nucleus)
- The hotel staff were warned against using the banned items but no fines could be imposed due to lack of penalties. (satellite)
- The seized plastic products were old stock that had been stored at the branch. (satellite)
- The food safety department took action based on complaints and is working to ensure the ban is implemented in Chennai. (nucleus)

Cause:
- Complaints from customers, officials including the district collector, about Saravana Bhavan using banned plastic products led to the seizure. (nucleus)

Evidence:
- The hotel chain had stored a one-tonne quantity of banned plastic items. (nucleus)
- The food safety department has seized around seven tonnes of banned products since January 1, 2019. (satellite)
- Previous raids were conducted on January 3 and confiscated about 3.5 tonnes of banned plastic items from Big Bazar, Adayar Anandha Bhavan, and Saravana Bhavan. (satellite)
- On January 12, approximately 2.5 tonnes of banned items were seized from Jeyachandra Textiles and Saravana Stores. (satellite)
- Last Sunday, 500 boxes of banned items were seized from Fipola, an online chicken store in Chennai. (satellite)"
indiatimes.com,city,Chennai ups drive against plastic,11-04-2019,https://timesofindia.indiatimes.com/city/chennai/50t-plastic-seized-in-2-weeks/articleshow/68822551.cms,"A huge mound of plastic water packets lies strewn outside a Tasmac outlet in Perungudi, indicating the magnitude of the problem CHENNAI: Officials of Greater Chennai Corporation have intensified the drive against 14 throwaway plastic items banned by the state government. Of the 170 tonnes seized from shopkeepers since January 1, when the ban kicked in, 50 tonnes were seized in the last two weeks.âApart from election work, officials have been visiting shops and seizing banned plastic on a regular basis.In February alone, plastic seizure came down due to the survey on beneficiaries for the Rs 2,000 scheme. But we are regularly sending reports on the plastic seizure,â said an official.The highest seizures were reported from Kodambakkam, Ambattur, Royapuram, Teynampet and Perungudi.The seized plastic will be sent to pyrolysis plant in Perungudi to be converted into fuel, said an official.âWe will shred them and use a portion for laying roads. But the major portion will be converted into fuel,â said an official.The civic bodyâs health department officials held a meeting last week to discuss other strategies and steps that would help enforce the ban.Corporation commissioner G Prakash said, âWe have received a fund of Rs 50 lakh from the TN environment and forest department. This will be used to create awareness among people. We are already creating awareness at zonal and ward levels. But using this fund, we plan to hold a workshop and exhibition in which all stakeholders including shop owners, manufacturers of alternative products and residential welfare associations will be involved. This will urge them to make the shift, as people now believe there are no alternatives.âTalking about penalties and other legislation, civic body officials said they had sent a draft to the state government on the bye-laws and were awaiting sanction â which will happen only after the election.âAfter that, we will hold public meetings to finalize the legislation and based on public objections, it will be further modified and then sanctioned by the state government,â said an official.The food safety department has also taken several steps to curb plastic usage and seizures are being conducted regularly. So far, about 13 tonnes of banned plastic items have been seized, of which five tonnes were seized after March 15.",,"Background:
- The state government has banned 14 throwaway plastic items, effective January 1 (nucleus).
- Since then, officials of Greater Chennai Corporation have been seizing banned plastic regularly from shopkeepers (satellite).

Cause:
- A decrease in plastic seizures in February was due to a survey on beneficiaries for the Rs 2,000 scheme (nucleus).

Location of Seizures:
- The highest seizures were reported from Kodambakkam, Ambattur, Royapuram, Teynampet, and Perungudi (satellite).

Action Taken:
- The seized plastic will be sent to a pyrolysis plant in Perungudi to be converted into fuel or used for road laying (nucleus).

Measures to Enforce Ban:
- A meeting was held by the Greater Chennai Corporation's health department last week to discuss strategies and steps to enforce the ban (satellite).
- The civic body has received a fund of Rs 50 lakh from the TN environment and forest department to create awareness among people (nucleus).
- A workshop and exhibition involving all stakeholders will be held using the fund to promote alternatives to banned plastic items (satellite).

Legislation:
- The civic body has sent a draft for bye-laws to the state government and is awaiting sanction, which will only happen after the election (nucleus).
- Public meetings will be held to finalize the legislation based on public objections (satellite).

Food Safety Department's Efforts:
- The food safety department has taken several steps to curb plastic usage and seizures are being conducted regularly (nucleus).
- So far, about 13 tonnes of banned plastic items have been seized, with five tonnes seized after March 15 (satellite).

SUMMARY:
Since January 1, officials of Greater Chennai Corporation have been seizing banned throwaway plastic items from shopkeepers. The highest seizures were reported in Kodambakkam, Ambattur, Royapuram, Teynampet, and Perungudi. The seized plastic will be converted into fuel or used for road laying. A fund of Rs 50 lakh has been received to create awareness about alternatives to banned plastic items. A workshop and exhibition involving all stakeholders will be held using this fund. Legislation regarding the ban is pending sanction from the state government, which will happen after the election. The food safety department has also been conducting regular seizures of banned plastic items."
thehindu.com,cities,"Food festivals, water tankers under lens",17-04-2019,https://www.thehindu.com/news/cities/kozhikode/food-festivals-water-tankers-under-lens/article26861401.ece,"Exhibition and sale of food through food festivals and distribution of drinking water by tankers have come under the lens of the Food Safety and Standards Authority of India (FSSAI) with depleting water resources raising doubts about water hygiene across the district. Health Department sources pointed out that there could be waterborne disease outbreaks if the quality of water was not checked properly. Many areas in the district are already in the grip of water scarcity, where the situation could be alarming. FSSAI licence is a must to distribute drinking water. The sources of collecting the water should be examined to ensure hygiene. The tankers, coated with bitumen or other prescribed material, should be cleaned properly and those who handle the water should be medically fit for the job. Those vehicles should not be used for other purposes too. Criminal offence Those who depend on tanker lorries for drinking water should ensure that the distributor has the licence to do so. To sell food stuff without FSSAI licence is a criminal offence with a fine up toâ¹5 lakh and a six-month jail term. People can call 8943346191, 8943346611 or the toll-free number 1800 425 11 25 to register complaints over the issue. Bacterial contamination There is also the possibility of bacterial contamination of food in hotels and restaurants and hostels. The food prepared in the morning becomes stale within five to six hours in summer. It has been found to be preserved till the night or heated up and served to the customers. In the Malabar region, the Health Department can take action against those selling such food under the Madras Public Health Act, 1939. The FSSAI instructions are also applicable to food exhibitions and food festivals that have opened in different parts of the district. The sellers should have FSSAI licence and the food should be kept clean, say the guidelines. The FSSAI guidelines also make it clear that vendors of packaged drinking water and soft drinks should not expose them to direct sunlight or exhibit them. Those who distribute drinking water by 20-litre cans should ensure that they are cleaned regularly and avoid using old or damaged cans.","The Food Safety and Standards Authority of India (FSSAI) has raised concerns over the hygiene of water distributed in tankers and sold food in various parts of the district due to depleting water resources. FSSAI licensing is mandatory for distributing drinking water, and the sources should be examined for hygiene. The tankers must be cleaned properly, and those handling the water should be medically fit. Selling food without an FSSAI license is a criminal offense. There's also potential bacterial contamination in food served in hotels, restaurants, and hostels in the district, especially during summer. The Health Department can take action against such violations under the Madras Public Health Act, 1939.","Background:
- Water scarcity is a concern across the district (nucleus)
- FSSAI licence is necessary for distributing drinking water (satellite)

Cause:
- Depleting water resources raise doubts about water hygiene (nucleus)

Elaboration:
- Tankers should be coated with bitumen or other prescribed material and cleaned properly (satellite 1)
- Those who handle the water should be medically fit for the job (satellite 2)
- Tankers should not be used for other purposes (satellite 3)

Result:
- Criminal offense if FSSAI license is not obtained to distribute drinking water (nucleus)

Cause:
- Selling food without an FSSAI license is a criminal offense (nucleus)

Elaboration:
- Penalty includes a fine up to ₹5 lakh and a six-month jail term (satellite)
- People can register complaints through given contact numbers (satellite)

Background:
- Bacterial contamination of food is possible in hotels, restaurants, and hostels (nucleus)
- Food prepared in the morning becomes stale within five to six hours in summer (satellite)

Elaboration:
- Food may be preserved till night or heated up and served to customers (satellite)

Background:
- The Health Department can take action against food violations under the Madras Public Health Act, 1939 (nucleus)

Elaboration:
- This applies to food exhibitions, food festivals, and vendors of packaged drinking water and soft drinks (satellite)
- Guidelines instruct sellers to have FSSAI licence and keep food clean (satellite)

Elaboration:
- The guidelines also specify that vendors should not expose packaged items to direct sunlight or exhibit them (satellite)
- Those distributing drinking water in 20-litre cans should ensure regular cleaning and avoid using old or damaged cans (satellite)"
thehindu.com,national,Vigilance seizes stale food from six city restaurants,23-04-2019,https://www.thehindu.com/news/national/andhra-pradesh/vigilance-seizes-stale-food-from-six-city-restaurants/article26915626.ece,"Officials of the Regional Vigilance and Enforcement Department led by DSP K. Sravani raided about eight restaurants in the city on Monday and seized stale and leftover food items from at least six establishments. The seized food items included cooked food of the previous day, which was kept for sale on Monday. Officials also noticed that some of the restaurants were using non-permitted food colours for preparation of food. Food Safety Department officials collected six samples of food items suspected to be containing non-permitted colours for a thorough lab analysis. Cases are being booked by officials of the Food Safety Department under appropriate sections of the Food Safety and Standards Act 2006. Further, one case under Section 6A of the EC Act was booked against a restaurant in Gajuwaka by the Civil Supplies officials for using domestic gas cylinders for commercial purpose. Four gas cylinders were seized. Health peril Ms. Sravani said that selling stale food or food cooked with artificial colours is harmful for oneâs health and said that strict action would be taken against all erring restaurants and hotels.",,"Background:
- On Monday, DSP K. Sravani led officials from the Regional Vigilance and Enforcement Department in raiding eight restaurants in a city (nucleus).

Cause:
- Stale and leftover food items were found in at least six of the establishments, which were kept for sale on Monday (nucleus).
- Some restaurants were using non-permitted food colors for food preparation (nucleus).

Evidence:
- Six samples of suspected food items containing non-permitted colors were collected for lab analysis by Food Safety Department officials (nucleus).
- Four gas cylinders were seized from a restaurant in Gajuwaka for using them for commercial purposes, violating Section 6A of the EC Act (nucleus).

Result:
- Cases are being booked under appropriate sections of the Food Safety and Standards Act 2006 and one case under Section 6A of the EC Act was filed against the offending restaurant (nucleus).

Consequence/ Elaboration:
- Selling stale food or food cooked with artificial colors is harmful to health, according to DSP Ms. Sravani (satellite), who vowed strict action against all erring restaurants and hotels.

SUMMARY:
On Monday, officials led by DSP K. Sravani raided eight city restaurants, discovering stale food items kept for sale, along with the use of non-permitted food colors in some establishments. Six food samples containing suspected non-permitted colors were collected and cases were filed under Food Safety Act 2006 and EC Act due to these violations. Four gas cylinders were seized from a Gajuwaka restaurant for commercial misuse, posing health risks. DSP Ms. Sravani emphasized the harm of selling stale food or food cooked with artificial colors, promising strict action against all offending restaurants and hotels. (Date: Not specified, Location: City, Authorities involved: Regional Vigilance and Enforcement Department, Food Safety Department, Civil Supplies officials, Type of food/items: Stale food, leftover food, non-permitted food colors, gas cylinders)"
newindianexpress.com,states,Police to check drug peddling in capital region with an iron hand,22-04-2019,http://www.newindianexpress.com/states/andhra-pradesh/2019/apr/22/police-to-check-drug-peddling-in-capital-region-with-an-iron-hand-1967314.html,"He said that the students who came from distant places for study purpose and the unemployed youth, who reached the capital region in search of jobs, were becoming easy prey, as the peddlers wanted to make huge profit by targeting youngsters. He said that the peddlers were extending their illegal sale of ganja, gutka and drugs to places near universities and were supplying ganja by filling the stuff in cigarettes and as a result of this the officials would have to step up their vigil and curb such illegal acts.","Officials were urged to increase vigilance due to peddlers illegally selling drugs, including ganja disguised in cigarettes, targeting students and unemployed youth in capital regions.","Background:
- The discussion revolves around the issue of illegal drug sales (nucleus).
- The location is a capital region where students and unemployed youth reside (satellite).

Cause:
- Peddlers target youngsters due to their easy accessibility (nucleus).
- These peddlers extend their sale of illegal substances, such as ganja, gutka, and drugs, near universities (satellite).

Elaboration:
- The peddlers make a substantial profit by disguising ganja in cigarettes (nucleus).
- As a result, officials must step up their surveillance and put an end to these illegal activities (satellite).

The date and authorities involved are not explicitly stated in the article. However, it can be assumed that the speaker mentioned is a relevant authority figure advocating for increased vigilance against illegal drug sales in the capital region. The type of food/items involved are ganja, gutka, and drugs, while the cause of the issue is the targeting of young students and unemployed youth by peddlers."
newindianexpress.com,states,Many anomalies found in V&E raids in Guntur,25-04-2019,http://www.newindianexpress.com/states/andhra-pradesh/2019/apr/25/many-anomalies-found-in-ve-raids-in-guntur-1968802.html,"Further, the team conducted surprise checks at two ice cream manufacturing units of Balaji Dairy Milk Products and Tasty Pure and Fresh situated at Vengaiah Nagar in Guntur. The officers found several irregularities and the organisers were making ice cream products without any licence obtained from the Food Safety and Industries departments. They found colour and other additives including essence, which were used well past their expiry dates. The units were also using rusted freezers and manufacturing the products with milk powder instead of milk. They collected three samples, which were sent for analysis. Ice cream products worth `3 lakh were seized in the raids.",,"Background:
- The article discusses unexpected inspections at two ice cream factories in Guntur, India. (nucleus)

Cause:
- The factories were operating without valid licenses from the Food Safety and Industries departments. (nucleus)
- The factories used expired additives and manufacturing products with milk powder instead of milk. (nucleus)

Evidence:
- Several irregularities were found during the inspections, including the use of outdated color and other additives, as well as rusted freezers. (nucleus)
- Three samples were collected for analysis, and ice cream products worth INR 3 lakh were seized. (nucleus)

SUMMARY:
In Guntur, India, two ice cream manufacturing units - Balaji Dairy Milk Products and Tasty Pure and Fresh - were found to be operating without valid licenses from the Food Safety and Industries departments during surprise inspections. The factories were also using expired additives, rusted freezers, and milk powder instead of milk in their products. Three samples were collected for analysis, and ice cream products worth INR 3 lakh were seized.

Date: Not provided in the article
Location: Vengaiah Nagar, Guntur, India
Authorities Involved: Food Safety and Industries departments
Type of food/items: Ice cream products"
thehindu.com,cities,6.5 tonnes of artificially ripened mangoes seized,28-04-2019,https://www.thehindu.com/news/cities/Madurai/65-tonnes-of-artificially-ripened-mangoes-seized/article26971237.ece,"The Food Safety Department here has seized roughly 6.5 tonnes of mangoes ripened using artificial and harmful agents in Madurai city over the last two days. The seizures were made from three shops in Mattuthavani and a godown on North Masi Street, sources in the department said. They were found to be using agents like ethephon and carbide for ripening the fruits in short period. The three shops in Mattuthavani were sealed, while the godown, where people resided, was not sealed, officials added. The seized mangoes will be dumped in Madurai Corporationâs garbage yard in Vellakkal. It can be noted that the department had already dumped few hundred kilograms of such seized mangoes earlier at the yard in Vellakkal. With mango season reaching its peak, the Food Safety Department has intensified its raid across Madurai on artificial ripening of mangoes. M. Somasundaram, Designated Officer, Madurai, said that the problem was rampant across places. âThe demand is more. People want to buy only ripened mangoes. Hence, ethephon and carbide are widely used in a number of godowns. These can be quite harmful for the consumers,â he said. Sources in the department said that with the limited availability of manpower and other resources, it was difficult to conduct raids in multiple places. âWe are trying to seal at least some of the shops and penalise those responsible with the hope that it acts as a deterrent for others,â Dr. Somasundaram said. While on the one hand the department seizing artificial mangoes, he said that the Commissioner of Food Safety had initiated steps by writing to the departments concerned to monitor and regulate the sale of artificial agents like carbide stones and ethephon sprays. âIt will be effective to address the issue at the source,â he added. However, he said that the best solution for the public in the meanwhile is to buy raw green mangoes and allow them to naturally ripen at homes.","In Madurai city over the last two days, the Food Safety Department seized approximately 6.5 tonnes of mangoes ripened using harmful agents like ethephon and carbide from four locations. The seized mangoes will be disposed of in the Madurai Corporation's garbage yard. The department has intensified its raids on artificial ripening of mangoes due to high demand, but limited resources make it difficult to conduct raids at multiple places. To address the issue at the source, the Commissioner of Food Safety has written to departments concerned to monitor and regulate the sale of artificial agents like carbide stones and ethephon sprays. In the meantime, the public is advised to buy raw green mangoes and allow them to naturally ripen at home.","Background:
- The Food Safety Department in Madurai city seized roughly 6.5 tonnes of mangoes (nucleus).
- The seizures were made from three shops in Mattuthavani and a godown on North Masi Street (satellite).
- The problem of artificial ripening is rampant across places (satellite).

Cause:
- Ethephon and carbide are widely used for ripening mangoes in a number of godowns due to high demand (nucleus).
- These agents can be harmful for consumers (satellite).

Evidence:
- The seized mangoes will be dumped in Madurai Corporation's garbage yard in Vellakkal (nucleus).

Elaboration:
- The three shops in Mattuthavani were sealed, while the godown, where people resided, was not sealed (satellite).
- With limited availability of manpower and other resources, it is difficult to conduct raids in multiple places (nucleus).
- The department is trying to seal at least some of the shops and penalise those responsible with the hope that it acts as a deterrent for others (satellite).
- The Commissioner of Food Safety has initiated steps by writing to departments concerned to monitor and regulate the sale of artificial agents like carbide stones and ethephon sprays (nucleus).
- In the meantime, the best solution for the public is to buy raw green mangoes and allow them to naturally ripen at home (satellite)."
